book_id,review_score,roberta_compound,rating,title,previewLink,image,genre,publisher,authors
B000TNGU5M,4.793103448275862,0.23059091,0.3998353489127834,Night,http://books.google.nl/books?id=LSSyDwAAQBAJ&printsec=frontcover&dq=Night&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=LSSyDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Juvenile Fiction,applesauce press,Clement Moore
B000PCESRE,4.375,0.40588424,0.399181784830981,The Catcher in the Rye,No Link,https://www.google.com/url?sa=i&url=https%3A%2F%2Fislandpress.org%2Fbooks%2Fwild-cats&psig=AOvVaw1KOBgRGHa-CM0hMZUhZ968&ust=1700839051074000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCMCaz6212oIDFQAAAAAdAAAAABAJ,other,other,other
B000PGLOMM,4.548387096774194,0.6011134,0.3990603653443857,Ulysses.,http://books.google.nl/books?id=7hAaQgAACAAJ&dq=Ulysses.&hl=&cd=1&source=gbs_api,https://www.google.com/url?sa=i&url=https%3A%2F%2Fislandpress.org%2Fbooks%2Fwild-cats&psig=AOvVaw1KOBgRGHa-CM0hMZUhZ968&ust=1700839051074000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCMCaz6212oIDFQAAAAAdAAAAABAJ,other,other,"James Augustine Aloysius Joyce, John Vandenbergh (pseud. van Jan Hendrik Willem Schlamilch.)"
1556863047,4.6,0.5573954,0.3983203715940027,The Sea Wolf,http://books.google.com/books?id=yPpBBAAAQBAJ&printsec=frontcover&dq=The+Sea+Wolf&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=yPpBBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction,eartnow,Jack London
0816156921,4.613636363636363,0.50386685,0.39783009630709,Dracula (G. K. Hall (Large Print)),http://books.google.com/books?id=AlDNcQAACAAJ&dq=Dracula+(G.+K.+Hall+(Large+Print))&hl=&cd=1&source=gbs_api,https://www.google.com/url?sa=i&url=https%3A%2F%2Fislandpress.org%2Fbooks%2Fwild-cats&psig=AOvVaw1KOBgRGHa-CM0hMZUhZ968&ust=1700839051074000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCMCaz6212oIDFQAAAAAdAAAAABAJ,High interest-low vocabulary books,other,"Bram Stoker, Grand Theatre Collection (University of Guelph), Aerie Books Ltd, Earle Rice, Paula Wing, Victoria Adilman, Krista Jackson, Michael Shamata, Wal-Mart (Firm), Oliver Dennis"
B000EHHOVC,4.716666666666667,0.36753047,0.39780213123639807,Animal Farm,No Link,https://www.google.com/url?sa=i&url=https%3A%2F%2Fislandpress.org%2Fbooks%2Fwild-cats&psig=AOvVaw1KOBgRGHa-CM0hMZUhZ968&ust=1700839051074000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCMCaz6212oIDFQAAAAAdAAAAABAJ,other,other,other
B000MOOAJG,3.933333333333333,0.41344854,0.3975008255982937,Atlas Shrugged,No Link,https://www.google.com/url?sa=i&url=https%3A%2F%2Fislandpress.org%2Fbooks%2Fwild-cats&psig=AOvVaw1KOBgRGHa-CM0hMZUhZ968&ust=1700839051074000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCMCaz6212oIDFQAAAAAdAAAAABAJ,other,other,other
B000FC2QGE,3.8484848484848486,0.59999216,0.39737218658859086,Blink: The Power of Thinking Without Thinking,http://books.google.com/books?id=VKGbb1hg8JAC&printsec=frontcover&dq=Blink:+The+Power+of+Thinking+Without+Thinking&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=VKGbb1hg8JAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Business & Economics,back bay books,Malcolm Gladwell
B000Q032UY,4.714285714285714,0.8379537,0.3963606737067651,The Hobbit or There and Back Again,http://books.google.nl/books?id=LLSpngEACAAJ&dq=The+Hobbit+or+There+and+Back+Again&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=LLSpngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Juvenile Fiction,mariner books,J. R. R. Tolkien
B000KW0GVG,5.0,0.50974643,0.3960553792391619,Crime and Punishment,http://books.google.com/books?id=nVGKDgAAQBAJ&printsec=frontcover&dq=Crime+and+Punishment&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=nVGKDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction,courier corporation,"Fyodor Dostoyevsky, Constance Garnett"
1847022251,4.791044776119403,0.6783697,0.39495841315272295,Jane Eyre (Large Print),http://books.google.com/books?id=OLniywEACAAJ&dq=Jane+Eyre+(Large+Print)&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=OLniywEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Fiction,other,"Charlotte Brontë, Marc Cactus"
B000PBZH5M,4.439024390243903,0.753584,0.39492680877085073,Foundation,http://books.google.nl/books?id=GGNeAgAAQBAJ&pg=PR2&dq=Foundation&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=GGNeAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Education,van haren,"K. Louwman, Willem Kromkamp"
0435126075,4.704225352112676,0.75448453,0.39229934152776175,Pride & Prejudice (New Windmill),http://books.google.com/books?id=ZV9DDwAAQBAJ&printsec=frontcover&dq=Pride&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=ZV9DDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Young Adult Fiction,harpercollins,Ibi Zoboi
